Offence,A,CB,C,E,FH,NE,NW,PI,SC,SE,S,SW,W,Total,Source_File,Year
Murder,0,0,2,6,1,6,3,0,8,9,12,11,1,59,RBPF 2020 Annual Crime Report.pdf,2020
Attempted Murder,0,0,0,0,1,0,0,0,5,3,2,1,1,13,RBPF 2020 Annual Crime Report.pdf,2020
Manslaughter,0,0,0,1,0,0,0,0,0,0,0,0,0,1,RBPF 2020 Annual Crime Report.pdf,2020
Rape,0,0,2,2,0,3,1,2,4,7,2,12,4,39,RBPF 2020 Annual Crime Report.pdf,2020
Attempted Rape,0,1,1,0,0,0,0,0,0,0,2,1,0,5,RBPF 2020 Annual Crime Report.pdf,2020
Unlawful Sex,0,3,6,8,3,11,9,2,15,13,14,20,7,111,RBPF 2020 Annual Crime Report.pdf,2020
Armed Robbery,0,2,14,27,11,45,7,0,44,57,45,40,7,299,RBPF 2020 Annual Crime Report.pdf,2020
Robbery,0,4,3,4,4,26,7,0,13,9,6,10,2,88,RBPF 2020 Annual Crime Report.pdf,2020
Attempted Robbery,0,0,2,1,0,4,0,0,0,1,2,0,0,10,RBPF 2020 Annual Crime Report.pdf,2020
Sub Total,0,10,30,49,20,95,27,4,89,99,85,95,22,625,RBPF 2020 Annual Crime Report.pdf,2020
Burglary,0,9,3,8,4,16,9,0,12,12,13,8,18,112,RBPF 2020 Annual Crime Report.pdf,2020
Housebreaking,0,43,13,51,27,38,18,1,31,48,23,43,43,379,RBPF 2020 Annual Crime Report.pdf,2020
Shopbreaking,0,8,36,11,14,73,29,1,55,50,33,50,30,390,RBPF 2020 Annual Crime Report.pdf,2020
Stealing,3,32,34,56,30,79,33,16,67,78,55,116,51,650,RBPF 2020 Annual Crime Report.pdf,2020
Vehicle,2,59,73,93,43,117,49,2,79,267,59,136,44,1023,RBPF 2020 Annual Crime Report.pdf,2020
Stolen Vehicle,1,23,13,15,3,15,16,2,23,31,5,48,12,207,RBPF 2020 Annual Crime Report.pdf,2020
Sub Total,6,174,172,234,121,338,154,22,267,486,188,401,198,2761,RBPF 2020 Annual Crime Report.pdf,2020
TOTAL,6,184,202,283,141,433,181,26,356,585,273,496,220,3386,RBPF 2020 Annual Crime Report.pdf,2020
